similarity;sentence1;sentence2
neutral;"Two people stand in front of a building with graffiti that reads ""Boss Life"".";The building was vandalized by a gang.
entailment;"Two people stand in front of a building with graffiti that reads ""Boss Life"".";Two people stand outside.
contradiction;"Two people stand in front of a building with graffiti that reads ""Boss Life"".";The building was burnt down due to arson.
neutral;A group of adults in casual dress sit down to eat a barbecued meal.;The adults are eating dinner.
entailment;A group of adults in casual dress sit down to eat a barbecued meal.;The adults are wearing clothes.
contradiction;A group of adults in casual dress sit down to eat a barbecued meal.;The children are eating the meal.
contradiction;Two people are facing each other on the corner of a street.;The two people are standing back to back.
entailment;Two people are facing each other on the corner of a street.;The two people are outdoors
neutral;Two people are facing each other on the corner of a street.;The two people are old friends
contradiction;A woman in red sips a drink as she looks at the people below her.;A woman in black sips a drink as she looks at the dogs below her.
entailment;A woman in red sips a drink as she looks at the people below her.;A person drinks while people watching.
neutral;A woman in red sips a drink as she looks at the people below her.;A woman in red sips a drink as she looks at the people below her in the street.
contradiction;Many people wearing red and white are walking in the street as another lady, wearing a red blouse, watches from above holding a drink.;The people are all nude.
entailment;Many people wearing red and white are walking in the street as another lady, wearing a red blouse, watches from above holding a drink.;People are walking on a street.
neutral;Many people wearing red and white are walking in the street as another lady, wearing a red blouse, watches from above holding a drink.;The lady is ravishing.
entailment;A view of a city street where many people wearing white and red are walking.;There is a view of a city street with some people wearing white and red walking.
entailment;A view of a city street where many people wearing white and red are walking.;There is a view of a city street with many people wearing white and red while walking.
contradiction;A view of a city street where many people wearing white and red are walking.;There is no view of the city street with some people wearing black and yellow while walking.
entailment;Two elderly people sing in microphones while playing instruments.;The people are making noise together.
neutral;Two elderly people sing in microphones while playing instruments.;The people are singing on stage.
contradiction;Two elderly people sing in microphones while playing instruments.;The people are quietly eating.
contradiction;"An older middle-aged man wearing a brown hat is strumming a guitar and singing into a microphone; his female companion is singing into a microphone and playing an instrument also, but the woman's instrument cannot be readily seen.";The couple sing harmoniously as the woman plucks her glittery banjo, it's sparkle standing out in the crowd.
entailment;"An older middle-aged man wearing a brown hat is strumming a guitar and singing into a microphone; his female companion is singing into a microphone and playing an instrument also, but the woman's instrument cannot be readily seen.";The man and woman singing due play their instruments, although the woman's instrument is blocked by something.
neutral;"An older middle-aged man wearing a brown hat is strumming a guitar and singing into a microphone; his female companion is singing into a microphone and playing an instrument also, but the woman's instrument cannot be readily seen.";The couple sing and play together nicely, even if the man's brown hat is blocking the woman's instrument.
entailment;A young woman sips a drink on a balcony during a Bull run.;The woman sipped her drink.
contradiction;A young woman sips a drink on a balcony during a Bull run.;The woman ate a candy bar on the balcony.
neutral;A young woman sips a drink on a balcony during a Bull run.;The woman sat on the balcony and watched the Bull run.
neutral;A couple of old people playing instruments and singing.;old people are singing for their church
entailment;A couple of old people playing instruments and singing.;old people are singing and playing instruments
contradiction;A couple of old people playing instruments and singing.;the old people are on their death beds watching tv
entailment;Several people are standing in a fenced in area.;There are some people standing around whilst fenced in.
neutral;Several people are standing in a fenced in area.;There are eight people surrounded by a fence.
contradiction;Several people are standing in a fenced in area.;A few people are sitting down in a fenced area.
neutral;A winter landscape with four people walking in the snow.;A winter scene with four people walking to a party.
entailment;A winter landscape with four people walking in the snow.;A winter scene with people walking.
contradiction;A winter landscape with four people walking in the snow.;A winter landscape with people dressed in swimsuits.
entailment;two dogs run across dry ground.;two animals run across dry ground.
contradiction;two dogs run across dry ground.;two cats run across dry ground.
neutral;two dogs run across dry ground.;two big dogs run across dry ground.
contradiction;Two dogs walking along dirt path.;The animals are taking a nap inside.
entailment;Two dogs walking along dirt path.;The animals are moving.
neutral;Two dogs walking along dirt path.;A pit bull and a golden retriever take the short cut home.
contradiction;The dogs are walking in the desert.;The dogs are running in the desert.
neutral;The dogs are walking in the desert.;The dogs are walking to the water in the desert.
entailment;The dogs are walking in the desert.;The dogs are on the beach.
entailment;Two dogs are walking away from the camera through shrubs and grass.;There are some dogs outside.
neutral;Two dogs are walking away from the camera through shrubs and grass.;The dogs are leading the cameraman somewhere.
contradiction;Two dogs are walking away from the camera through shrubs and grass.;The dogs are running towards the camera.
neutral;A man holds onto a tether as he waterskis splashing water every direction!;a man watersking for the first time
contradiction;A man holds onto a tether as he waterskis splashing water every direction!;a man on a motorcycle
entailment;A man holds onto a tether as he waterskis splashing water every direction!;a man watersking
neutral;Two dogs playing outside.;A couple of mutts are chasing a squirrel.
entailment;Two dogs playing outside.;There are canines in the yard.
contradiction;Two dogs playing outside.;Two dogs are running through the house.
neutral;A young Indian girl in a blue dress is pointing and smiling at the camera.;the girl laughing
contradiction;A young Indian girl in a blue dress is pointing and smiling at the camera.;the girl is wearing jeans.
entailment;A young Indian girl in a blue dress is pointing and smiling at the camera.;THe girl is on tv
neutral;Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.;All the girls are smiling.
contradiction;Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.;The girls are wearing red sweaters.
entailment;Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.;At least one girl is smiling.
neutral;Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.;Girls wearing blue dresses play with a piece of fabric and pose for a picture.
neutral;Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.;The girl just noticed the camera.
entailment;Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.;There is a smiling girl pointing to the camera.
contradiction;Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.;A man holding fabric while a girl is smiling and pointing to the camera.
entailment;Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.;a number of girls dressed in blue, one of whom smiles
entailment;Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.;A lady holds fabric while another woman points at the camera.
entailment;Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.;A girl smiles and points at a picture.
contradiction;Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.;The girls are wearing shorts.
contradiction;Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.;Girls in swimsuits get ready to dive into an empty pool.
neutral;Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.;two woman pose for a picture, and one of them is holding fabric.
neutral;Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.;a birthday group is photographed
contradiction;Girls wearing a blue dress holding a thin, long, blue fabric while one girl is smiling and pointing to the camera.;twenty puppys lick a sad girls tears
contradiction;Dog catching a red Frisbee.;A dog watches a frisbee pass over his head and yawns.
entailment;Dog catching a red Frisbee.;A dog is playing catch.
neutral;Dog catching a red Frisbee.;A dog catches a frisbee in the park.
contradiction;Girls in blue dresses are holding large blue cloths.;A group of boys playing ball.
neutral;Girls in blue dresses are holding large blue cloths.;A group of girls using cloths to wash a car.
entailment;Girls in blue dresses are holding large blue cloths.;A group of girls in blue holding cloths.
contradiction;A man wearing swim goggles is doing the crawl in a lane in a swimming pool.;Nobody is in a pool.
entailment;A man wearing swim goggles is doing the crawl in a lane in a swimming pool.;A human in a pool
neutral;A man wearing swim goggles is doing the crawl in a lane in a swimming pool.;A tall human in a pool
entailment;Two Indian people are dancing at a wedding with flower petals all over the floor.;Two Indian people people dancing at a wedding.
contradiction;Two Indian people are dancing at a wedding with flower petals all over the floor.;Two Indian people eating a wedding dinner.
neutral;Two Indian people are dancing at a wedding with flower petals all over the floor.;An Indian couple dancing at their wedding.
contradiction;The boys draw in the sand with sticks.;The adults build crappy sandcastles.
neutral;The boys draw in the sand with sticks.;The teenagers try to out draw each other on the beach.
entailment;The boys draw in the sand with sticks.;The children play simply.
contradiction;A girl wearing a blue dress is sliding down a tube slide.;A girl wearing a red dress is playing on the monkey bars.
entailment;A girl wearing a blue dress is sliding down a tube slide.;A girl wearing a blue dress is playing at a playground.
neutral;A girl wearing a blue dress is sliding down a tube slide.;A girl wearing a blue dress is playing at a playground with friends.
entailment;A swimmer is emerging from the water;The swimmer is coming up from the water.
neutral;A swimmer is emerging from the water;The swimmer is coming up for air.
contradiction;A swimmer is emerging from the water;The swimmer is drowning.
neutral;A bearded man wears a red bandanna and a leather jacket over a teeshirt with an American flag on it.;The beard is short.
entailment;A bearded man wears a red bandanna and a leather jacket over a teeshirt with an American flag on it.;A bearded man is wearing an America-themed shirt.
contradiction;A bearded man wears a red bandanna and a leather jacket over a teeshirt with an American flag on it.;The bandanna is yellow.
contradiction;A swimmer's hand is taken as he gets out of the water.;The swimmer is diving deep into the ocean.
-;A swimmer's hand is taken as he gets out of the water.;The swimmer is female.
entailment;A swimmer's hand is taken as he gets out of the water.;The swimmer is getting out of the water.
entailment;A swimmer exits the water after a competition.;A person is wet.
contradiction;A swimmer exits the water after a competition.;A person is running in a field.
neutral;A swimmer exits the water after a competition.;A swimmer won a competition.
neutral;The child wearing the green shirt is on the beach talking with some people.;The child is talking to his friend.
contradiction;The child wearing the green shirt is on the beach talking with some people.;The child is in a barren field.
entailment;The child wearing the green shirt is on the beach talking with some people.;The child is wearing green.
contradiction;Four people in sunhats are sitting and talking together on the sand of the ocean shore.;Three people without hats are sitting on the beach.
neutral;Four people in sunhats are sitting and talking together on the sand of the ocean shore.;Four people are enjoying their day outside.
entailment;Four people in sunhats are sitting and talking together on the sand of the ocean shore.;Four people sit outside.
contradiction;Three guys sitting on a sandy beach near the water and one is talking to the two little girls.;The girl sat on the beach alone.
entailment;Three guys sitting on a sandy beach near the water and one is talking to the two little girls.;The guys sat on the beach near the water.
neutral;Three guys sitting on a sandy beach near the water and one is talking to the two little girls.;The guys sat on the beach near the water watching the sunset.
contradiction;A small group of adults and children are wearing hats and shorts on the sandy beach near the blue water.;A small group of adults and children are not wearing hats
entailment;A small group of adults and children are wearing hats and shorts on the sandy beach near the blue water.;A small group of adults and children are wearing hats
neutral;A small group of adults and children are wearing hats and shorts on the sandy beach near the blue water.;A small group of adults and children are joyously wearing hats
neutral;Four people with hats are relaxing at the coast.;Some people are on vacation.
contradiction;Four people with hats are relaxing at the coast.;Some people are having a large party on the coast.
entailment;Four people with hats are relaxing at the coast.;Some people are sitting on the coast.
entailment;A man wearing a beret walks down the street and smiles.;The man is happy as he walks.
neutral;A man wearing a beret walks down the street and smiles.;The man is walking through Paris.
contradiction;A man wearing a beret walks down the street and smiles.;The woman sits outside.
neutral;Two people are outside walking through the snow.;The snow is thick.
contradiction;Two people are outside walking through the snow.;The people are inside.
entailment;Two people are outside walking through the snow.;There are people.
contradiction;A dog rolls on his back.;The dog is swimming.
neutral;A dog rolls on his back.;The dog is scratching his back.
entailment;A dog rolls on his back.;The dog rolls over.
neutral;People sitting on black chairs on a bus.;The people are on their way home
entailment;People sitting on black chairs on a bus.;The people in a bus
contradiction;People sitting on black chairs on a bus.;The people are outside.
neutral;A woman who has just finished her dance performance3.;A woman just finished dancing for a massive audience.
contradiction;A woman who has just finished her dance performance3.;A woman just finished eating cake.
entailment;A woman who has just finished her dance performance3.;A woman just finished dancing.
entailment;A young woman is drawing with a Sharpie marker.;A woman is drawing.
entailment;A young woman is drawing with a Sharpie marker.;A woman is drawing.
neutral;A young woman is drawing with a Sharpie marker.;The Sharpie is black
contradiction;A young woman is drawing with a Sharpie marker.;The woman is old
entailment;A young woman is drawing with a Sharpie marker.;A young girl is drawing using a Sharpie marker
contradiction;A young woman is drawing with a Sharpie marker.;The woman is running around the room.
contradiction;A young woman is drawing with a Sharpie marker.;Three art students are walking in the art classroom and exchanging their paint brushes
entailment;A young woman is drawing with a Sharpie marker.;a women is drawing
entailment;A young woman is drawing with a Sharpie marker.;The woman is drawing
neutral;A young woman is drawing with a Sharpie marker.;A young women is drawing in art class.
neutral;A young woman is drawing with a Sharpie marker.;she i using a black sharpie
neutral;A young woman is drawing with a Sharpie marker.;An art student is performing a sketch of the field in Sharpie marker
contradiction;A young woman is drawing with a Sharpie marker.;the women is using a pencil
contradiction;A young woman is drawing with a Sharpie marker.;A man is drawing with a colored pencil.
neutral;A young woman is drawing with a Sharpie marker.;The woman is an art student.
neutral;A woman is drawing at a table with a blue permanent marker.;A woman is drawing a dinosaur at a table with a blue permanent marker.
contradiction;A woman is drawing at a table with a blue permanent marker.;A woman is writing on a wall with a colored pencil.
entailment;A woman is drawing at a table with a blue permanent marker.;A woman is drawing.
contradiction;A young woman draws lines on a tile with a permanent marker.;The carpenter draws lines on the wooden board.
neutral;A young woman draws lines on a tile with a permanent marker.;The artist makes a quick sketch on the tile.
entailment;A young woman draws lines on a tile with a permanent marker.;A person is using a writing utensil.
entailment;A woman with strawberry blond-hair decorates a tile in yellow and black.;A woman is decorating a tile.
neutral;A woman with strawberry blond-hair decorates a tile in yellow and black.;A woman is painting a tile at a picnic table.
contradiction;A woman with strawberry blond-hair decorates a tile in yellow and black.;A woman is weaving a basket.
entailment;An art student uses a blue Sharpie to create a pattern on thick, white poster board.;A student draws on poster board.
neutral;An art student uses a blue Sharpie to create a pattern on thick, white poster board.;A student draws a chevron pattern on poster board.
contradiction;An art student uses a blue Sharpie to create a pattern on thick, white poster board.;A student knits a scarf.
neutral;A military man walks in front of a procession of people during a parade.;A man leads the parade.
contradiction;A military man walks in front of a procession of people during a parade.;A man walks behind the parade.
entailment;A military man walks in front of a procession of people during a parade.;A man is in a parade..
entailment;Barefooted, someone appears to be looking in a bathroom mirror.;A person appears to be looking in a mirror.
neutral;Barefooted, someone appears to be looking in a bathroom mirror.;A person in a black shirt is looking in a mirror.
contradiction;Barefooted, someone appears to be looking in a bathroom mirror.;A person in shoes is dancing.
neutral;A woman in a pool looking down.;A woman is preparing to dive.
contradiction;A woman in a pool looking down.;A woman is looking down into a pool of tears preparing to dive into them.
entailment;A woman in a pool looking down.;A woman is looking into a pool.
entailment;A biker pops a wheelie along side the colorful wall.;A person is riding a bike near a wall.
neutral;A biker pops a wheelie along side the colorful wall.;A biker does a trick with other bikers.
contradiction;A biker pops a wheelie along side the colorful wall.;A person is walking their bike by a wall.
entailment;A baseball player hits baseball.;The player swings his bat.
neutral;A baseball player hits baseball.;The player hit a home run.
contradiction;A baseball player hits baseball.;The player is throwing the football.
contradiction;A woman in a yellow shirts walks through a park with her dog not far behind.;The man is running away from the cat
entailment;A woman in a yellow shirts walks through a park with her dog not far behind.;A woman walks with her dog
neutral;A woman in a yellow shirts walks through a park with her dog not far behind.;The woman is trying to out-walk her dog
entailment;A man on a small bicycle performing a trick on a wall covered with graffiti.;A man is riding a bicycle up a graffiti covered wall.
neutral;A man on a small bicycle performing a trick on a wall covered with graffiti.;A man is performing a trick on a bicycle to a small crowd.
contradiction;A man on a small bicycle performing a trick on a wall covered with graffiti.;A man is riding a bicycle down a country road.
entailment;A baseball player hitting a ball.;someone hitting a ball
neutral;A baseball player hitting a ball.;someone hitting a ball during the championship baseball game
contradiction;A baseball player hitting a ball.;2 basketball players
neutral;A trials biker doing a stunt on a graffiti-filled wall.;The person is falling off his bike.
entailment;A trials biker doing a stunt on a graffiti-filled wall.;The person is on a bicycle.
contradiction;A trials biker doing a stunt on a graffiti-filled wall.;The man is on a boat.
entailment;A bmx rider does a trick against a graffiti covered wall.;A bike rider is outside doing tricks.
neutral;A bmx rider does a trick against a graffiti covered wall.;The bmx rider has been riding his entire life.
contradiction;A bmx rider does a trick against a graffiti covered wall.;The bike rider is sitting on a chair.
neutral;Two men, both wearing green cycling clothes and helmets, are riding bicycles.;Two guys ride bikes in a triathlon.
entailment;Two men, both wearing green cycling clothes and helmets, are riding bicycles.;Two guys ride bikes.
contradiction;Two men, both wearing green cycling clothes and helmets, are riding bicycles.;Two guys eat hamburgers in front of TV.
entailment;A lady in a purple shirt is painting a picture of a person on a curved wall.;A lady painting.
contradiction;A lady in a purple shirt is painting a picture of a person on a curved wall.;A naked lady painting stick figures with her feces.
neutral;A lady in a purple shirt is painting a picture of a person on a curved wall.;A lady painting a picture of a famous person.
neutral;A woman with a purple shirt painting another woman on a wall.;A woman who is wearing a purple shirt is painting another woman who has purple on as well.
contradiction;A woman with a purple shirt painting another woman on a wall.;A man is dancing at a party while a woman is on the wall.
entailment;A woman with a purple shirt painting another woman on a wall.;A woman who is wearing purple is painting another woman.
neutral;A lady painting on a public wall!;The woman was painting a portrait of herself.
contradiction;A lady painting on a public wall!;The woman was inside the coffee house.
entailment;A lady painting on a public wall!;The woman was painting.
entailment;Seven people walking across a bridge.;There are people on a bridge
contradiction;Seven people walking across a bridge.;There is one person on a bridge
neutral;Seven people walking across a bridge.;There are people on a long bridge
contradiction;Three young boys are dressed in hoodies facing the same way.;Three young boys are all in swimming trunks and no shirts.
entailment;Three young boys are dressed in hoodies facing the same way.;Group of young boys all in hoodies.
neutral;Three young boys are dressed in hoodies facing the same way.;Three best friends get into mischief.
neutral;A man and a woman conversing in a city.;the cars drove by in the city
contradiction;A man and a woman conversing in a city.;the man was in the countryside
entailment;A man and a woman conversing in a city.;the man was talking
neutral;A man and a woman eating at an outdoor table.;The man and woman eat here all the time.
contradiction;A man and a woman eating at an outdoor table.;The man and woman are on their phones.
entailment;A man and a woman eating at an outdoor table.;The couple are outdoors.
contradiction;A couple having lunch on a public lunch table.;A couple is sleeping.
neutral;A couple having lunch on a public lunch table.;A couple is outside
entailment;A couple having lunch on a public lunch table.;A couple is having lunch
entailment;Three boys in hooded sweatshirts standing and looking at camera.;Some kids in hooded sweatshirts loiter.
neutral;Three boys in hooded sweatshirts standing and looking at camera.;Three young school friends pose.
contradiction;Three boys in hooded sweatshirts standing and looking at camera.;Three girls having a tea party.
neutral;A little girl smiling in a colorful knitted hat.;The little girl likes her hat
contradiction;A little girl smiling in a colorful knitted hat.;The little girl is angry
entailment;A little girl smiling in a colorful knitted hat.;The little girl is happy
contradiction;Little girl wearing a colorful hat while propped up on a cushion.;A little girl runs through the living room laughing
entailment;Little girl wearing a colorful hat while propped up on a cushion.;A little girl is inside.
neutral;Little girl wearing a colorful hat while propped up on a cushion.;A child sits for her first birthday photos
entailment;Little girl wearing a colorful hat while propped up on a cushion.;A little girl wears a colorful hat.
entailment;Little girl wearing a colorful hat while propped up on a cushion.;A girl in a hat
contradiction;Little girl wearing a colorful hat while propped up on a cushion.;A baby is crying.
neutral;Little girl wearing a colorful hat while propped up on a cushion.;A girl wearing a hat smiles with some people.
contradiction;Little girl wearing a colorful hat while propped up on a cushion.;A girl rides a horse in a field.
entailment;Little girl wearing a colorful hat while propped up on a cushion.;A girl is wearing a hat.
neutral;Little girl wearing a colorful hat while propped up on a cushion.;A little girl is wearing a colorful hat, the same one that her father used to wear.
entailment;Little girl wearing a colorful hat while propped up on a cushion.;A girl has something on her head.
neutral;Little girl wearing a colorful hat while propped up on a cushion.;A girl is posing for a family portrait.
neutral;Little girl wearing a colorful hat while propped up on a cushion.;A child is posing on a pillow in a pretty hat.
contradiction;Little girl wearing a colorful hat while propped up on a cushion.;A little girl is lying down, as she is very sick.
contradiction;Little girl wearing a colorful hat while propped up on a cushion.;A boy is running in a field.
entailment;A little girl with a knit hat laying on a pillow propping her head up with her hands.;A child is laying down.
contradiction;A little girl with a knit hat laying on a pillow propping her head up with her hands.;A boy is playing with his friends
neutral;A little girl with a knit hat laying on a pillow propping her head up with her hands.;A girl is trying to take a nap.
neutral;A little girl in a pink, blue, orange and green hat with her hands on her face posing for the camera.;A little girl poses for a picture her mom is taking.
contradiction;A little girl in a pink, blue, orange and green hat with her hands on her face posing for the camera.;A little girl chases an ice cream truck.
entailment;A little girl in a pink, blue, orange and green hat with her hands on her face posing for the camera.;A little girl poses for the camera.
entailment;Several people are moving away from a brightly colored tower.;There is a group of people near a tower.
contradiction;Several people are moving away from a brightly colored tower.;The people are inside a house.
neutral;Several people are moving away from a brightly colored tower.;The people were just at the tower.
contradiction;Three young men wearing hooded sweatshirts are posing for a photo.;The men are eating pie.
entailment;Three young men wearing hooded sweatshirts are posing for a photo.;Three men have clothes on.
neutral;Three young men wearing hooded sweatshirts are posing for a photo.;The men are standing up.
entailment;Asian Child in fancy hat posing for picture;the child is asian
neutral;Asian Child in fancy hat posing for picture;the hat is large
contradiction;Asian Child in fancy hat posing for picture;the child is mexican
entailment;A man looking at the scenery through binoculars.;A man is using a tool to improve his view.
neutral;A man looking at the scenery through binoculars.;The man does not like the scenery he is viewing.
contradiction;A man looking at the scenery through binoculars.;The man is reading a book.
neutral;A man photographs out off of the frozen land.;The man is wearing a coat.
contradiction;A man photographs out off of the frozen land.;The man is drinking coffee.
entailment;A man photographs out off of the frozen land.;The man has a camera.
contradiction;A guy is standing on an ice patch by the sea, looking through a telescope at sunset.;a woman pilots a submarine on land
entailment;A guy is standing on an ice patch by the sea, looking through a telescope at sunset.;a man looks through a telescope by the sea
neutral;A guy is standing on an ice patch by the sea, looking through a telescope at sunset.;a man near the sea looks through a telescope
entailment;There are many people walking at Times Square in New York near a building with a Lion King poster in the window.;People are walking in New York.
entailment;There are many people walking at Times Square in New York near a building with a Lion King poster in the window.;There are many people walking at Times Square.
contradiction;There are many people walking at Times Square in New York near a building with a Lion King poster in the window.;People are walking next to a building that has a Cinderella poster in the window.
contradiction;There are many people walking at Times Square in New York near a building with a Lion King poster in the window.;There are many people sitting at Times Square
neutral;There are many people walking at Times Square in New York near a building with a Lion King poster in the window.;People are walking next to the building where the Lion King is being performed.
neutral;There are many people walking at Times Square in New York near a building with a Lion King poster in the window.;There are many people happily walking at Times Square
neutral;Photographer taking pictures of sunset.;Woman photographer taking pictures of sunset.
contradiction;Photographer taking pictures of sunset.;Photographer taking pictures of of a birthday party.
entailment;Photographer taking pictures of sunset.;Photographer taking pictures.
contradiction;A girl in a black shirt is looking to the side while sitting on a wooden bench.;A girl in a red shirt is eating some ice cream.
neutral;A girl in a black shirt is looking to the side while sitting on a wooden bench.;A girl in a black shirt and blue jeans is sitting on a wooden bench.
entailment;A girl in a black shirt is looking to the side while sitting on a wooden bench.;A person is sitting on a bench.
neutral;A young girl playing on a log swing.;a girl swings on a rotten log swing
entailment;A young girl playing on a log swing.;a girl swinging
contradiction;A young girl playing on a log swing.;a man falls off a swing
contradiction;A girl sitting on a bench amongst the grass;A girl is having a picnic
entailment;A girl sitting on a bench amongst the grass;A girl is sitting on a bench outside
neutral;A girl sitting on a bench amongst the grass;A girl is waiting for a bus
contradiction;A woman sitting on a bench in a park on a cloudy day;The woman is dancing in the streets.
neutral;A woman sitting on a bench in a park on a cloudy day;The woman is waiting for a friend.
entailment;A woman sitting on a bench in a park on a cloudy day;There is a woman on a bench outside.
neutral;A woman holding a girl's wrist walking down the street.;Some people walking down the street holding hands escaping the rain.
contradiction;A woman holding a girl's wrist walking down the street.;Some people being lazy sitting on the curb.
entailment;A woman holding a girl's wrist walking down the street.;Some people walking down the street.
contradiction;A woman holding a little girls hand walking across a bridge.;Two people are sitting on a bench.
neutral;A woman holding a little girls hand walking across a bridge.;A woman and a child are running on a bridge.
entailment;A woman holding a little girls hand walking across a bridge.;Two people walking across a bridge.
contradiction;A girl is swinging on a piece of wood.;The girl is swimming in a lake.
entailment;A girl is swinging on a piece of wood.;The girl is outside.
neutral;A girl is swinging on a piece of wood.;The girl is swinging with a friend.
contradiction;A girl with dark hair swings on a hanging log.;The girl has red hair.
entailment;A girl with dark hair swings on a hanging log.;A girl is swinging.
neutral;A girl with dark hair swings on a hanging log.;The log is hanging from a rope.
contradiction;A man wearing a wedding band is pouring a white liquid into a cup of brown liquid.;the man is sleeping in his bed
entailment;A man wearing a wedding band is pouring a white liquid into a cup of brown liquid.;there is one man in this picture
neutral;A man wearing a wedding band is pouring a white liquid into a cup of brown liquid.;the man is getting ready to drink his coffee while reading the paper
neutral;One small dog chases another across grass.;The grass is healthy
contradiction;One small dog chases another across grass.;There are no dogs.
entailment;One small dog chases another across grass.;There are two dogs
neutral;The baby is wearing a red shirt and walking in a plaza.;The baby is wearing a red shirt and walking with his parents.
contradiction;The baby is wearing a red shirt and walking in a plaza.;The baby is playing alone at home.
entailment;The baby is wearing a red shirt and walking in a plaza.;The baby is walking in a plaza.
neutral;Monks in red robes sell vegetables at a market.;robed people selling veggies in market
entailment;Monks in red robes sell vegetables at a market.;monks selling vegetables in the market
contradiction;Monks in red robes sell vegetables at a market.;people waddling down the street
contradiction;A group of teenagers sitting in the hall at school.;A group of teenagers plays tennis at the park
neutral;A group of teenagers sitting in the hall at school.;A group of teenagers are playing cards in the hallway at school
entailment;A group of teenagers sitting in the hall at school.;Teenagers are sitting in the school hallway
neutral;A baby in jeans and a winter jacket sits on top of a blue slide.;A baby on a playground slide outside
contradiction;A baby in jeans and a winter jacket sits on top of a blue slide.;A man sitting on a couch asleep
entailment;A baby in jeans and a winter jacket sits on top of a blue slide.;A baby sitting on top of a slide
neutral;A woman in a flower shirt is working on a piece of pottery.;The flowers on her shirt are red
entailment;A woman in a flower shirt is working on a piece of pottery.;She wears a decorated shirt
contradiction;A woman in a flower shirt is working on a piece of pottery.;He eats the pottery
contradiction;Two people climb a set of stairs onto a bridge.;two people climb a set of stairs onto a pirate ship.
neutral;Two people climb a set of stairs onto a bridge.;two people are climbing stairs to jump off the bridge.
entailment;Two people climb a set of stairs onto a bridge.;two people are outside moving.
contradiction;Man and woman walking up the stairs to an overpass.;A husband and wife are swimming in the ocean.
entailment;Man and woman walking up the stairs to an overpass.;Two people are escalating.
neutral;Man and woman walking up the stairs to an overpass.;A couple is visiting a state park.
entailment;2 people walking up a set of stairs in the city.;People walking up stairs.
neutral;2 people walking up a set of stairs in the city.;People walking up stairs on their way home.
contradiction;2 people walking up a set of stairs in the city.;People walking down stairs.
neutral;A man walking a dog and a young girl climb the stairs to a red bridge in a city.;A sad man walking a dog and a young girl climb the stairs to a red bridge in a city.
entailment;A man walking a dog and a young girl climb the stairs to a red bridge in a city.;A person walking a dog and a young girl climb the stairs to a red bridge in a city.
contradiction;A man walking a dog and a young girl climb the stairs to a red bridge in a city.;A woman walking a dog and a young girl climb the stairs to a red bridge in a city.
contradiction;A couple is walking up the stairs to a bridge in a downtown part of a city.;A child climbs steps by themselves next to a bridge.
entailment;A couple is walking up the stairs to a bridge in a downtown part of a city.;Two people walking up to a bridge.
neutral;A couple is walking up the stairs to a bridge in a downtown part of a city.;A couple walks up steep steps to a large blue bridge.
entailment;A man wearing green shoes lounges outdoors.;A man sits outdoors.
neutral;A man wearing green shoes lounges outdoors.;A man sits down to adjust his uncomfortable green shoes.
contradiction;A man wearing green shoes lounges outdoors.;A man sits indoors.
contradiction;A young child learning how to swim.;A woman eats a sundae.
neutral;A young child learning how to swim.;A man teaches his son to swim.
entailment;A young child learning how to swim.;A child learns to swim.
neutral;A man wearing cutoff jeans and green sneakers sits with one leg crossed across the other one.;A man is wearing sunglasses.
contradiction;A man wearing cutoff jeans and green sneakers sits with one leg crossed across the other one.;A man is shoeless.
entailment;A man wearing cutoff jeans and green sneakers sits with one leg crossed across the other one.;A man is wearing shoes.
neutral;A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.;A drunk man is drinking in a garden
entailment;A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.;a casually dressed man sits in the garden
entailment;A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.;A man is outside.
entailment;A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.;An individual sits drinking a beer in a garden.
neutral;A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.;A man is trying to unwind from the workweek
neutral;A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.;A man is taking a break from weeding his garden.
contradiction;A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.;A man is wearing a button up
