similitud; oración1; oración2
vinculación; Dos personas están enfrentadas en la esquina de una calle.; Las dos personas están afuera
neutral; Dos personas están enfrentadas en la esquina de una calle.; Las dos personas son viejos amigos
contradicción; Una mujer de rojo toma un trago mientras mira a la gente debajo de ella.; Una mujer de negro toma un trago mientras mira a los perros debajo de ella.
vinculación; Una mujer vestida de rojo toma un trago mientras mira a la gente debajo de ella.; Una persona bebe mientras mira a la gente.
neutral; Una mujer de rojo toma un trago mientras mira a la gente debajo de ella.; Una mujer de rojo toma un trago mientras mira a la gente debajo de ella en la calle.
contradicción; muchas personas vestidas de rojo y blanco están caminando por la calle mientras otra señora, vestida con una blusa roja, mira desde arriba sosteniendo una copa; la gente está toda desnuda.
vinculación; Muchas personas vestidas de rojo y blanco están caminando por la calle mientras otra dama, vestida con una blusa roja, observa desde arriba sosteniendo una bebida.; La gente camina por una calle.
neutral; Muchas personas vestidas de rojo y blanco están caminando por la calle mientras otra dama, vestida con una blusa roja, observa desde arriba sosteniendo una bebida.; La dama es deslumbrante.
vinculación; Una vista de una calle de la ciudad donde muchas personas vestidas de blanco y rojo están caminando.; Hay una vista de una calle de la ciudad con algunas personas vestidas de blanco y rojo caminando.
vinculación; Una vista de una calle de la ciudad donde muchas personas vestidas de blanco y rojo están caminando.; Hay una vista de una calle de la ciudad con muchas personas vestidas de blanco y rojo mientras caminan.
contradicción; Una vista de una calle de la ciudad donde muchas personas vestidas de blanco y rojo están caminando.; No hay una vista de la calle de la ciudad con algunas personas vestidas de negro y amarillo mientras caminan.
vinculación; Dos personas mayores cantan en micrófonos mientras tocan instrumentos.; La gente está haciendo ruido juntos.
neutral; Dos ancianos cantan en micrófonos mientras tocan instrumentos.; La gente canta en el escenario.
contradicción; Dos ancianos cantan en micrófonos mientras tocan instrumentos.; La gente está comiendo tranquilamente.
contradicción; "Un hombre mayor de mediana edad con un sombrero marrón rasguea una guitarra y canta en un micrófono; su compañera canta en un micrófono y también toca un instrumento, pero el instrumento de la mujer no se puede ver fácilmente". La pareja cante armoniosamente mientras la mujer toca su brillante banjo, su brillo se destaca entre la multitud.
vinculación; Una mujer joven toma un trago en un balcón durante un encierro.; La mujer tomó un sorbo de su bebida.
contradicción; Una mujer joven toma un trago en un balcón durante un encierro.; La mujer se comió una barra de chocolate en el balcón.
neutral; Una mujer joven toma un trago en un balcón durante una corrida de toros.; La mujer se sentó en el balcón y observó la corrida de toros.
neutral; Un par de ancianos tocando instrumentos y cantando.; Los ancianos están cantando para su iglesia
vinculación; Un par de ancianos tocando instrumentos y cantando.; Los ancianos están cantando y tocando instrumentos
contradicción; un par de ancianos tocando instrumentos y cantando.; los ancianos están en sus lechos de muerte viendo la televisión
vinculación; Varias personas están paradas en un área cercada.; Hay algunas personas paradas mientras están cercadas.
neutral; Varias personas están paradas en un área cercada.; Hay ocho personas rodeadas por una cerca.
contradicción; Varias personas están paradas en un área cercada.; Algunas personas están sentadas en un área cercada.
neutral; Un paisaje invernal con cuatro personas caminando en la nieve.; Una escena invernal con cuatro personas caminando hacia una fiesta.
vinculación; Un paisaje invernal con cuatro personas caminando en la nieve.; Una escena invernal con gente caminando.
contradicción; Un paisaje invernal con cuatro personas caminando en la nieve.; Un paisaje invernal con gente vestida en traje de baño.
vinculación; dos perros corren por tierra seca; dos animales corren por tierra seca.
contradicción; dos perros corren por tierra seca; dos gatos corren por tierra seca.
neutral; dos perros corren por tierra seca; dos perros grandes corren por tierra seca.
contradicción; Dos perros caminando por un camino de tierra.; Los animales están tomando una siesta adentro.
vinculación; Dos perros caminando por camino de tierra.; Los animales se mueven.
neutral; Dos perros caminando por un camino de tierra.; Un pit bull y un golden retriever toman el atajo a casa.
contradicción; Los perros están caminando en el desierto.; Los perros están corriendo en el desierto.
neutral; Los perros están caminando en el desierto.; Los perros están caminando hacia el agua en el desierto.
vinculación; Los perros están paseando por el desierto.; Los perros están en la playa.
vinculación; Dos perros se alejan de la cámara a través de arbustos y hierba.; Hay algunos perros afuera.
neutral; Dos perros se alejan de la cámara a través de arbustos y hierba.; Los perros llevan al camarógrafo a alguna parte.
contradicción; Dos perros se alejan de la cámara a través de arbustos y pasto.; Los perros corren hacia la cámara.
neutral; ¡Un hombre se aferra a una correa mientras hace un esquí acuático salpicando agua en todas direcciones!
contradicción; ¡un hombre se aferra a una correa mientras hace un esquí acuático salpicando agua en todas direcciones!; un hombre en una motocicleta
vinculación; ¡Un hombre se aferra a una correa mientras hace esquí acuático salpicando agua en todas direcciones!
neutral; Dos perros jugando afuera.; Un par de perros callejeros persiguen a una ardilla.
vinculación; Dos perros jugando afuera.; Hay caninos en el patio.
contradicción; Dos perros jugando afuera.; Dos perros corren por la casa.
neutral; una joven india con un vestido azul está apuntando y sonriendo a la cámara.; la niña riendo
contradicción; una joven india con un vestido azul está apuntando y sonriendo a la cámara.; la niña lleva jeans.
vinculación; Una joven india con un vestido azul está apuntando y sonriendo a la cámara.; La niña está en la televisión
neutral; Niñas con un vestido azul sosteniendo una tela azul delgada y larga mientras una niña está sonriendo y apuntando a la cámara.; Todas las niñas están sonriendo.
contradicción; Niñas con un vestido azul sosteniendo una tela azul delgada y larga mientras una niña sonríe y apunta a la cámara.; Las niñas usan suéteres rojos.
vinculación; Niñas con un vestido azul sosteniendo una tela azul delgada y larga mientras una niña está sonriendo y apuntando a la cámara.; Al menos una niña está sonriendo.
neutral; Niñas con un vestido azul sosteniendo una tela azul delgada y larga mientras una niña está sonriendo y apuntando a la cámara.; Las niñas con vestidos azules juegan con un trozo de tela y posan para una foto.
neutral; Niñas con un vestido azul sosteniendo una tela azul delgada y larga mientras una niña sonríe y apunta a la cámara.; La niña acaba de notar la cámara.
vinculación; Niñas con un vestido azul sosteniendo una tela azul delgada, larga, mientras una niña está sonriendo y apuntando a la cámara.; Hay una niña sonriente apuntando a la cámara.
contradicción; Niñas con un vestido azul sosteniendo una tela azul delgada, larga, mientras una niña está sonriendo y apuntando a la cámara.; Un hombre sosteniendo la tela mientras una niña está sonriendo y apuntando a la cámara.
vinculación; Niñas con un vestido azul sosteniendo una tela azul delgada, larga, mientras una niña sonríe y apunta a la cámara.; Varias niñas vestidas de azul, una de las cuales sonríe
vinculación; Niñas con un vestido azul sosteniendo una tela azul delgada y larga mientras una niña sonríe y apunta a la cámara.; Una dama sostiene la tela mientras otra mujer apunta a la cámara.
vinculación; Niñas con un vestido azul sosteniendo una tela azul delgada y larga mientras una niña sonríe y apunta a la cámara.; Una niña sonríe y señala una imagen.
contradicción; Niñas con un vestido azul sosteniendo una tela azul delgada y larga mientras una niña está sonriendo y apuntando a la cámara.; Las niñas están usando pantalones cortos.
contradicción; Niñas con un vestido azul sosteniendo una tela azul delgada y larga mientras una niña sonríe y apunta a la cámara.; Niñas en traje de baño se preparan para zambullirse en una piscina vacía.
neutral; Niñas con un vestido azul sosteniendo una tela azul delgada y larga mientras una niña sonríe y apunta a la cámara.; Dos mujeres posan para una foto, y una de ellas sostiene una tela.
neutral; niñas con un vestido azul sosteniendo una tela azul delgada y larga mientras una niña sonríe y apunta a la cámara.; un grupo de cumpleaños es fotografiado
contradicción; Niñas con un vestido azul sosteniendo una tela azul delgada, larga, mientras una niña sonríe y apunta a la cámara.; Veinte cachorros lamen lágrimas de una niña triste
contradicción; Perro cogiendo un frisbee rojo.; Un perro mira pasar un frisbee por encima de su cabeza y bosteza.
vinculación; Perro cogiendo un frisbee rojo.; Un perro está jugando a atrapar.
neutral; Perro cogiendo un frisbee rojo.; Un perro cogiendo un frisbee en el parque.
contradicción; Las niñas con vestidos azules sostienen grandes telas azules.; Un grupo de niños jugando a la pelota.
neutral; Las niñas con vestidos azules sostienen grandes paños azules.; Un grupo de niñas que usan paños para lavar un automóvil.
vinculación; Niñas con vestidos azules sostienen grandes paños azules.; Un grupo de niñas con paños azules.
contradicción; Un hombre con gafas de natación está haciendo el rastreo en un carril en una piscina.; Nadie está en una piscina.
vinculación; Un hombre con gafas de natación está haciendo el rastreo en un carril en una piscina.; Un humano en una piscina
neutral; Un hombre con gafas de natación se arrastra en un carril de una piscina.; Un ser humano alto en una piscina
vinculación; Dos indios bailan en una boda con pétalos de flores por todo el suelo.; Dos indios bailan en una boda.
contradicción; Dos indios bailan en una boda con pétalos de flores por todo el suelo.; Dos indios cenando en una boda.
neutral; Dos indios bailan en una boda con pétalos de flores por todo el suelo.; Una pareja de indios bailando en su boda.
contradicción; Los niños dibujan en la arena con palos.; Los adultos construyen castillos de arena de mierda.
neutral; Los chicos dibujan en la arena con palos.; Los adolescentes intentan dibujarse unos a otros en la playa.
vinculación; Los niños dibujan en la arena con palos.; Los niños juegan simplemente.
contradicción; Una niña con un vestido azul se desliza por un tobogán de tubo.; Una niña con un vestido rojo está jugando en las barras.
vinculación; Una niña con un vestido azul se desliza por un tobogán de tubo.; Una niña con un vestido azul está jugando en un parque infantil.
neutral; Una niña con un vestido azul se desliza por un tobogán de tubo.; Una niña con un vestido azul está jugando en un patio de recreo con amigos.
vinculación; Un nadador está emergiendo del agua; El nadador está saliendo del agua.
neutral; Un nadador está emergiendo del agua; El nadador está subiendo a tomar aire.
contradicción; Un nadador está emergiendo del agua; El nadador se está ahogando.
neutral; Un hombre barbudo usa un pañuelo rojo y una chaqueta de cuero sobre una camiseta con una bandera estadounidense en ella.; La barba es corta.
vinculación; Un hombre barbudo viste un pañuelo rojo y una chaqueta de cuero sobre una camiseta con una bandera estadounidense en ella.; Un hombre barbudo lleva una camisa con el tema de Estados Unidos.
contradicción; Un hombre barbudo usa un pañuelo rojo y una chaqueta de cuero sobre una camiseta con una bandera estadounidense en ella.; El pañuelo es amarillo.
contradicción; Se toma la mano de un nadador cuando sale del agua.; El nadador se zambulle profundamente en el océano.
-; Se toma la mano de un nadador cuando sale del agua.; El nadador es una mujer.
implicación; Se toma la mano de un nadador cuando sale del agua.; El nadador está saliendo del agua.
implicación; Un nadador sale del agua después de una competición.; Una persona está mojada.
contradicción; Un nadador sale del agua después de una competencia.; Una persona está corriendo en un campo.
neutral; Un nadador sale del agua después de una competencia.; Un nadador ganó una competencia.
neutral; El niño con la camiseta verde está en la playa hablando con algunas personas.; El niño está hablando con su amigo.
contradicción; el niño con la camiseta verde está en la playa hablando con algunas personas; el niño está en un campo yermo.
vinculación; El niño con la camiseta verde está en la playa hablando con algunas personas.; El niño está vestido de verde.
contradicción; Cuatro personas con sombrero para el sol están sentadas y hablando juntas en la arena de la orilla del mar.; Tres personas sin sombrero están sentadas en la playa.
neutral; Cuatro personas con sombreros para el sol están sentadas y hablando juntas en la arena de la orilla del océano.; Cuatro personas disfrutan de su día al aire libre.
vinculación; Cuatro personas con sombreros para el sol están sentadas y hablando juntas en la arena de la orilla del océano.; Cuatro personas se sientan afuera.
contradicción; Tres chicos sentados en una playa de arena cerca del agua y uno está hablando con las dos niñas.; La niña se sentó en la playa sola.
vinculación; Tres chicos sentados en una playa de arena cerca del agua y uno está hablando con las dos niñas pequeñas.; Los chicos se sentaron en la playa cerca del agua.
neutral; Tres chicos sentados en una playa de arena cerca del agua y uno está hablando con las dos niñas pequeñas.; Los chicos se sentaron en la playa cerca del agua viendo la puesta de sol.
contradicción; Un pequeño grupo de adultos y niños usan sombreros y pantalones cortos en la playa de arena cerca del agua azul.; Un pequeño grupo de adultos y niños no usan sombreros
vinculación; Un pequeño grupo de adultos y niños usan sombreros y pantalones cortos en la playa de arena cerca del agua azul.; Un pequeño grupo de adultos y niños usan sombreros
neutral; Un pequeño grupo de adultos y niños usan sombreros y pantalones cortos en la playa de arena cerca del agua azul.; Un pequeño grupo de adultos y niños usan sombreros con alegría
neutral; Cuatro personas con sombreros se relajan en la costa.; Algunas personas están de vacaciones.
contradicción; Cuatro personas con sombreros se están relajando en la costa.; Algunas personas están haciendo una gran fiesta en la costa.
vinculación; Cuatro personas con sombreros se relajan en la costa.; Algunas personas están sentadas en la costa.
vinculación; Un hombre con boina camina por la calle y sonríe.; El hombre es feliz mientras camina.
neutral; Un hombre con boina camina por la calle y sonríe.; El hombre camina por París.
contradicción; Un hombre con boina camina por la calle y sonríe.; La mujer se sienta afuera.
neutral; Dos personas están afuera caminando por la nieve.; La nieve es espesa.
contradicción; Dos personas están afuera caminando por la nieve.; La gente está adentro.
vinculación; Dos personas están afuera caminando por la nieve.; Hay gente.
contradicción; Un perro rueda sobre su espalda.; El perro está nadando.
neutral; Un perro rueda sobre su espalda.; El perro se rasca la espalda.
vinculación; Un perro rueda sobre su espalda.; El perro se da vuelta.
neutral; Personas sentadas en sillas negras en un autobús.; Las personas están de camino a casa
vinculación; Gente sentada en sillas negras en un autobús.; La gente en un autobús
contradicción; gente sentada en sillas negras en un autobús; la gente está afuera.
neutral; Una mujer que acaba de terminar su espectáculo de danza3.; Una mujer que acaba de terminar de bailar para una audiencia masiva.
contradicción; Una mujer que acaba de terminar su espectáculo de danza3.; Una mujer que acaba de terminar de comer pastel.
vinculación; Una mujer que acaba de terminar su espectáculo de danza3.; Una mujer que acaba de terminar de bailar.
vinculación; Una mujer joven está dibujando con un marcador Sharpie.; Una mujer está dibujando.
vinculación; Una mujer joven está dibujando con un marcador Sharpie.; Una mujer está dibujando.
neutral; Una mujer joven está dibujando con un marcador Sharpie.; El Sharpie es negro
contradicción; Una mujer joven está dibujando con un marcador Sharpie.; La mujer es vieja
vinculación; Una mujer joven está dibujando con un marcador Sharpie.; Una niña está dibujando con un marcador Sharpie
contradicción; Una mujer joven está dibujando con un rotulador Sharpie.; La mujer está corriendo por la habitación.
contradicción; Una mujer joven está dibujando con un marcador Sharpie.; Tres estudiantes de arte están caminando en el aula de arte e intercambiando sus pinceles
vinculación; una mujer joven está dibujando con un marcador Sharpie.; una mujer está dibujando
vinculación; Una mujer joven está dibujando con un marcador Sharpie.; La mujer está dibujando
neutral; Una mujer joven está dibujando con un marcador Sharpie.; Una mujer joven está dibujando en la clase de arte.
neutral; una mujer joven está dibujando con un marcador Sharpie.
neutral; Una mujer joven está dibujando con un marcador Sharpie.; Un estudiante de arte está realizando un boceto del campo con un marcador Sharpie
contradicción; una mujer joven está dibujando con un marcador Sharpie.; la mujer está usando un lápiz
contradicción; Una mujer joven está dibujando con un marcador Sharpie.; Un hombre está dibujando con un lápiz de color.
neutral; Una mujer joven está dibujando con un rotulador Sharpie.; La mujer es una estudiante de arte.
neutral; Una mujer está dibujando en una mesa con un rotulador permanente azul.; Una mujer está dibujando un dinosaurio en una mesa con un rotulador permanente azul.
contradicción; Una mujer está dibujando en una mesa con un rotulador permanente azul.; Una mujer está escribiendo en una pared con un lápiz de color.
vinculación; Una mujer está dibujando en una mesa con un rotulador permanente azul.; Una mujer está dibujando.
contradicción; Una mujer joven dibuja líneas en un azulejo con un rotulador permanente.; El carpintero dibuja líneas en la tabla de madera.
neutral; Una mujer joven dibuja líneas en un azulejo con un marcador permanente.; El artista hace un boceto rápido en el azulejo.
vinculación; Una mujer joven dibuja líneas en un azulejo con un marcador permanente.; Una persona está usando un utensilio de escritura.
vinculación; Una mujer con cabello rubio fresa decora un azulejo en amarillo y negro.; Una mujer está decorando un azulejo.
neutral; Una mujer con cabello rubio fresa decora un azulejo en amarillo y negro.; Una mujer está pintando un azulejo en una mesa de picnic.
contradicción; Una mujer de cabello rubio fresa decora un azulejo en amarillo y negro.; Una mujer está tejiendo una canasta.
vinculación; Un estudiante de arte usa un marcador azul para crear un patrón en una cartulina blanca y gruesa.; Un estudiante dibuja en una cartulina.
neutral; Un estudiante de arte usa un Sharpie azul para crear un patrón en una cartulina blanca gruesa.; Un estudiante dibuja un patrón de chevron en una cartulina.
contradicción; Un estudiante de arte usa un marcador azul para crear un patrón en una cartulina blanca y gruesa.; Un estudiante teje una bufanda.
neutral; Un militar camina frente a una procesión de personas durante un desfile.; Un hombre encabeza el desfile.
contradicción; Un militar camina frente a una procesión de personas durante un desfile.; Un hombre camina detrás del desfile.
vinculación; Un militar camina frente a una procesión de personas durante un desfile.; Un hombre está en un desfile ..
vinculación; Descalzo, alguien parece estar mirándose en el espejo del baño.; Una persona parece estar mirándose en un espejo.
neutral; Descalzo, alguien parece estar mirándose en el espejo del baño.; Una persona con una camisa negra se está mirando en un espejo.
contradicción; Descalzo, alguien parece estar mirándose en el espejo del baño.; Una persona con zapatos está bailando.
neutral; Una mujer en una piscina mirando hacia abajo.; Una mujer se prepara para bucear.
contradicción; Una mujer en una piscina mirando hacia abajo.; Una mujer está mirando hacia un charco de lágrimas preparándose para sumergirse en ellas.
vinculación; Una mujer en una piscina mirando hacia abajo.; Una mujer está mirando a una piscina.
vinculación; Un ciclista hace estallar un caballito junto a la pared colorida.; Una persona está montando una bicicleta cerca de una pared.
neutral; Un ciclista hace estallar un caballito junto a la pared de colores.; Un ciclista hace un truco con otros ciclistas.
contradicción; Un ciclista hace estallar un caballito junto a la pared colorida.; Una persona camina con su bicicleta junto a una pared.
vinculación; Un jugador de béisbol golpea béisbol.; El jugador balancea su bate.
neutral; Un jugador de béisbol golpea béisbol.; El jugador bateó un jonrón.
contradicción; Un jugador de béisbol golpea béisbol.; El jugador está lanzando el balón.
contradicción; Una mujer con camisetas amarillas camina por un parque con su perro no muy lejos.; El hombre está huyendo del gato.
vinculación; Una mujer con camisas amarillas camina por un parque con su perro no muy lejos.; Una mujer camina con su perro
neutral; Una mujer con camisas amarillas camina por un parque con su perro no muy lejos.; La mujer está tratando de superar a su perro.
vinculación; Un hombre en una bicicleta pequeña realizando un truco en una pared cubierta de graffiti.; Un hombre está montando una bicicleta en una pared cubierta de graffiti.
neutral; Un hombre en una bicicleta pequeña realizando un truco en una pared cubierta de graffiti.; Un hombre está realizando un truco en una bicicleta a una pequeña multitud.
contradicción; Un hombre en una bicicleta pequeña realizando un truco en una pared cubierta de graffiti.; Un hombre anda en bicicleta por un camino rural.
vinculación; Un jugador de béisbol que golpea una pelota.; alguien que golpea una pelota
neutral; un jugador de béisbol que golpea una pelota.; alguien que golpea una pelota durante el juego de béisbol de campeonato
contradicción; Un jugador de béisbol golpeando una pelota.; 2 jugadores de baloncesto
neutral; Un ciclista de trial haciendo una acrobacia en una pared llena de graffiti.; La persona se está cayendo de su bicicleta.
vinculación; Un ciclista de pruebas haciendo una acrobacia en una pared llena de graffiti.; La persona está en una bicicleta.
contradicción; Un motociclista de pruebas haciendo un truco en una pared llena de graffiti.; El hombre está en un bote.
vinculación; Un ciclista de bmx hace un truco contra una pared cubierta de graffiti.; Un ciclista está afuera haciendo trucos.
neutral; Un ciclista de bmx hace un truco contra una pared cubierta de graffiti.; El ciclista de bmx ha estado montando toda su vida.
contradicción; Un ciclista de bmx hace un truco contra una pared cubierta de graffiti.; El ciclista está sentado en una silla.
neutral; Dos hombres, ambos con ropa de ciclismo verde y cascos, están montando bicicletas.; Dos hombres andan en bicicleta en un triatlón.
vinculación; Dos hombres, ambos con ropa de ciclismo verde y cascos, están montando bicicletas.; Dos hombres andan en bicicleta.
contradicción; Dos hombres, ambos con ropa de ciclista verde y cascos, andan en bicicleta.; Dos hombres comen hamburguesas frente al televisor.
vinculación; Una dama con una camisa púrpura está pintando un cuadro de una persona en una pared curva.; Una dama pintando.
contradicción; Una dama con una camisa morada está pintando un cuadro de una persona en una pared curva.; Una dama desnuda pintando figuras de palitos con sus heces.
neutral; Una dama con una camisa morada está pintando un cuadro de una persona en una pared curva.; Una dama pintando un cuadro de una persona famosa.
neutral; Una mujer con una camisa púrpura pintando a otra mujer en una pared.; Una mujer que lleva una camisa púrpura está pintando a otra mujer que también tiene púrpura.
contradicción; Una mujer con una camisa morada pintando a otra mujer en una pared.; Un hombre está bailando en una fiesta mientras una mujer está en la pared.
vinculación; Una mujer con una camisa morada pintando a otra mujer en una pared.; Una mujer vestida de morado está pintando a otra mujer.
neutral; ¡Una dama pintando en una pared pública!; La mujer se estaba pintando un retrato.
contradicción; ¡una señora pintando en un muro público!; la mujer estaba dentro de la cafetería.
vinculación; ¡Una dama pintando en una pared pública!; La mujer estaba pintando.
vinculación; Siete personas cruzando un puente.; Hay personas en un puente
contradicción; Siete personas cruzando un puente.; Hay una persona en un puente
neutral; Siete personas cruzando un puente.; Hay personas en un puente largo
contradicción; Tres niños pequeños están vestidos con sudaderas con capucha mirando de la misma manera.; Tres niños pequeños están todos en bañador y sin camisa.
vinculación; Tres chicos jóvenes están vestidos con sudaderas con capucha mirando de la misma manera.; Grupo de chicos jóvenes todos con sudaderas con capucha.
neutral; Tres chicos jóvenes están vestidos con sudaderas con capucha mirando de la misma manera.; Tres mejores amigos se meten en travesuras.
neutral; Un hombre y una mujer conversando en una ciudad.; Los autos pasaban por la ciudad
contradicción; Un hombre y una mujer conversando en una ciudad.; el hombre estaba en el campo
vinculación; Un hombre y una mujer conversando en una ciudad.; el hombre estaba hablando
neutral; Un hombre y una mujer comiendo en una mesa al aire libre.; El hombre y la mujer comen aquí todo el tiempo.
contradicción; Un hombre y una mujer comiendo en una mesa al aire libre.; El hombre y la mujer están en sus teléfonos.
vinculación; Un hombre y una mujer comiendo en una mesa al aire libre.; La pareja está al aire libre.
contradicción; Una pareja almorzando en una mesa de almuerzo pública.; Una pareja está durmiendo.
neutral; Una pareja almorzando en una mesa de almuerzo pública.; Una pareja está afuera
vinculación; Una pareja almorzando en una mesa de almuerzo pública.; Una pareja está almorzando
vinculación; Tres niños con sudaderas con capucha de pie y mirando a la cámara.; Algunos niños con sudaderas con capucha merodean.
neutral; Tres niños con sudaderas con capucha de pie y mirando a la cámara.; Tres jóvenes amigos de la escuela posan.
contradicción; Tres niños con sudaderas con capucha de pie y mirando a la cámara.; Tres niñas tomando un té.
neutral; Una niña sonriendo con un colorido gorro de punto.; A la niña le gusta su sombrero
contradicción; Una niña sonriendo con un colorido gorro de punto.; La niña está enojada
vinculación; Una niña sonriendo con un colorido gorro de punto.; La niña es feliz
contradicción; Niña con un sombrero de colores mientras está apoyada en un cojín.; Una niña corre por la sala de estar riendo
vinculación; Niña con un sombrero de colores mientras está apoyada en un cojín.; Una niña está adentro.
neutral; Niña con un sombrero de colores mientras está apoyada en un cojín.; Un niño se sienta para sus primeras fotos de cumpleaños
vinculación; Niña con un sombrero de colores mientras está apoyada en un cojín.; Una niña usa un sombrero de colores.
vinculación; Niña con un sombrero colorido mientras está apoyada en un cojín.; Una niña con sombrero
contradicción; Niña con un sombrero de colores mientras está apoyada en un cojín.; Un bebé está llorando.
neutral; Niña con un sombrero de colores mientras está apoyada en un cojín.; Una niña con sombrero sonríe con algunas personas.
contradicción; Niña con un sombrero de colores mientras está apoyada en un cojín.; Una niña monta a caballo en un campo.
vinculación; Niña con un sombrero de colores mientras está apoyada en un cojín.; Una niña lleva un sombrero.
neutral; Niña con un sombrero de colores mientras está apoyada en un cojín.; Una niña lleva un sombrero de colores, el mismo que solía usar su padre.
vinculación; Niña con un sombrero de colores mientras está apoyada en un cojín.; Una niña tiene algo en la cabeza.
neutral; Niña con un sombrero colorido mientras está apoyada en un cojín.; Una niña está posando para un retrato familiar.
neutral; Niña con un sombrero colorido mientras está apoyada en un cojín.; Un niño posa sobre una almohada con un sombrero bonito.
contradicción; Niña con un sombrero de colores mientras está apoyada en un cojín.; Una niña está acostada, ya que está muy enferma.
contradicción; Niña con un sombrero de colores mientras está apoyada en un cojín.; Un niño corre en un campo.
vinculación; Una niña con un gorro de punto recostado sobre una almohada apoyando la cabeza en alto con las manos.; Un niño está acostado.
contradicción; Una niña con un gorro de punto recostado sobre una almohada apoyando la cabeza en alto con las manos.; Un niño está jugando con sus amigos
neutral; Una niña con un gorro de punto recostado sobre una almohada apoyando la cabeza en alto con las manos.; Una niña está tratando de tomar una siesta.
neutral; Una niña con un sombrero rosa, azul, naranja y verde con las manos en la cara posando para la cámara.; Una niña posa para una foto que está tomando su mamá.
contradicción; Una niña con un sombrero rosa, azul, naranja y verde con las manos en la cara posando para la cámara.; Una niña persigue un camión de helados.
vinculación; Una niña con un sombrero rosa, azul, naranja y verde con las manos en la cara posando para la cámara.; Una niña posa para la cámara.
vinculación; Varias personas se están alejando de una torre de colores brillantes.; Hay un grupo de personas cerca de una torre.
contradicción; Varias personas se están alejando de una torre de colores brillantes.; La gente está dentro de una casa.
neutral; Varias personas se están alejando de una torre de colores brillantes.; La gente estaba justo en la torre.
contradicción; Tres hombres jóvenes con sudaderas con capucha posan para una foto.; Los hombres están comiendo pastel.
vinculación; Tres hombres jóvenes con sudaderas con capucha posan para una foto.; Tres hombres con ropa.
neutral; Tres jóvenes con sudaderas con capucha posan para una foto.; Los hombres están de pie.
vinculación; Niño asiático con sombrero elegante posando para la foto; el niño es asiático
neutral; Niño asiático con sombrero elegante posando para la foto; el sombrero es grande
contradicción; niño asiático con sombrero de fantasía posando para la foto; el niño es mexicano
vinculación; Un hombre mirando el paisaje a través de binoculares.; Un hombre está usando una herramienta para mejorar su vista.
neutral; Un hombre mirando el paisaje a través de binoculares.; Al hombre no le gusta el paisaje que está viendo.
contradicción; Un hombre mirando el paisaje a través de binoculares.; El hombre está leyendo un libro.
neutral; Un hombre toma fotografías de la tierra congelada.; El hombre lleva un abrigo.
contradicción; Un hombre saca fotografías de la tierra helada; El hombre está tomando café.
vinculación; Un hombre saca fotografías de la tierra congelada.; El hombre tiene una cámara.
contradicción; un hombre está parado en un parche de hielo junto al mar, mirando a través de un telescopio al atardecer.; una mujer pilota un submarino en tierra
vinculación; Un hombre está parado en un parche de hielo junto al mar, mirando a través de un telescopio al atardecer.; Un hombre mira a través de un telescopio junto al mar
neutral; Un hombre está parado en un parche de hielo junto al mar, mirando a través de un telescopio al atardecer.; Un hombre cerca del mar mira a través de un telescopio
vinculación; Hay mucha gente caminando en Times Square en Nueva York cerca de un edificio con un cartel del Rey León en la ventana.; La gente está caminando en Nueva York.
vinculación; Hay mucha gente caminando en Times Square en Nueva York cerca de un edificio con un cartel del Rey León en la ventana.; Hay mucha gente caminando en Times Square.
contradicción; Hay mucha gente caminando en Times Square en Nueva York cerca de un edificio con un cartel del Rey León en la ventana.; La gente camina junto a un edificio que tiene un cartel de Cenicienta en la ventana.
contradicción; Hay mucha gente caminando en Times Square en Nueva York cerca de un edificio con un cartel del Rey León en la ventana.; Hay mucha gente sentada en Times Square
neutral; Hay mucha gente caminando en Times Square en Nueva York cerca de un edificio con un cartel del Rey León en la ventana.; La gente camina junto al edificio donde se está representando el Rey León.
neutral; Hay mucha gente caminando en Times Square en Nueva York cerca de un edificio con un cartel del Rey León en la ventana.; Hay mucha gente caminando feliz en Times Square
neutral; Fotógrafo tomando fotografías de la puesta de sol.; Fotógrafo de mujer tomando fotografías de la puesta de sol.
contradicción; Fotógrafo que toma fotografías de la puesta de sol.; Fotógrafo que toma fotografías de una fiesta de cumpleaños.
vinculación; Fotógrafo tomando fotografías de la puesta de sol.; Fotógrafo tomando fotografías.
contradicción; Una niña con una camisa negra está mirando hacia un lado mientras está sentada en un banco de madera.; Una niña con una camisa roja está comiendo un helado.
neutral; Una niña con una camisa negra está mirando hacia un lado mientras está sentada en un banco de madera.; Una niña con una camisa negra y jeans azules está sentada en un banco de madera.
vinculación; Una niña con una camisa negra está mirando hacia un lado mientras está sentada en un banco de madera.; Una persona está sentada en un banco.
neutral; Una niña jugando en un columpio de troncos.; Una niña se balancea en un columpio de troncos podrido
vinculación; Una niña jugando en un columpio de troncos.; una niña balanceándose
contradicción; una niña jugando en un columpio de troncos.; un hombre se cae de un columpio
contradicción; una niña sentada en un banco entre la hierba; una niña está haciendo un picnic
vinculación; Una niña sentada en un banco entre la hierba; Una niña está sentada en un banco afuera
neutral; una niña sentada en un banco entre la hierba; una niña está esperando un autobús
contradicción; Una mujer sentada en un banco en un parque en un día nublado; La mujer está bailando en las calles.
neutral; Una mujer sentada en un banco en un parque en un día nublado; La mujer está esperando a un amigo.
